date,confirmed,deaths
2020-03-14,2,0
2020-03-15,2,0
2020-03-16,4,0
2020-03-17,6,0
2020-03-18,7,0
2020-03-19,8,0
2020-03-20,11,0
2020-03-21,14,0
2020-03-22,19,0
2020-03-23,19,0
2020-03-24,22,0
2020-03-25,22,0
2020-03-26,23,0
2020-03-27,24,0
2020-03-28,25,0
2020-03-29,29,0
2020-03-30,36,0
2020-03-31,37,0
2020-04-01,38,0
2020-04-02,38,0
2020-04-03,43,0
2020-04-04,43,0
2020-04-05,43,0
2020-04-06,44,0
2020-04-07,48,0
2020-04-08,48,0
2020-04-09,48,0
2020-04-10,49,0
2020-04-11,51,0
2020-04-12,51,0
2020-04-13,55,2
2020-04-14,55,2
2020-04-15,61,2
2020-04-16,68,2
2020-04-17,71,2
2020-04-18,85,2
2020-04-19,87,2
2020-04-20,89,2
2020-04-21,90,2
2020-04-22,91,2
2020-04-23,96,2
2020-04-24,108,2
2020-04-25,110,2
2020-04-26,125,2
2020-04-27,126,2
2020-04-28,128,2
2020-04-29,128,2
2020-04-30,128,2
2020-05-01,134,2
2020-05-02,137,2
2020-05-03,140,3
2020-05-04,140,3
2020-05-05,142,3
2020-05-06,143,3
2020-05-07,149,3
2020-05-08,151,4
2020-05-09,152,4
2020-05-11,155,4
2020-05-12,159,4
2020-05-13,162,4
2020-05-14,167,5
2020-05-16,172,5
2020-05-17,174,5
2020-05-18,181,5
2020-05-19,188,5
2020-05-20,194,6
2020-05-21,222,6
2020-05-22,224,6
2020-05-23,238,6
2020-05-24,240,6
2020-05-25,249,6
2020-05-26,262,6
2020-05-27,265,6
2020-05-28,278,6
2020-05-29,283,6
2020-05-30,293,7
2020-05-31,312,7
2020-06-01,317,7
2020-06-02,329,7
2020-06-03,341,7
2020-06-04,351,8
2020-06-06,351,8
2020-06-07,388,8
2020-06-08,398,8
2020-06-09,434,8
2020-06-10,560,8
2020-06-11,608,8
2020-06-12,608,8
2020-06-13,648,8
2020-06-14,720,8
2020-06-15,784,8
2020-06-16,868,8
2020-06-17,876,8
2020-06-18,975,8
2020-06-19,975,8
2020-06-20,1067,8
2020-06-21,1212,8
2020-06-22,1338,8
2020-06-23,1446,8
2020-06-24,1554,8
2020-06-25,1704,8
2020-06-26,1896,8
2020-06-28,2028,8
2020-06-29,2168,8
2020-06-30,2491,10
2020-07-01,2612,13
2020-07-02,2745,18
2020-07-04,3087,21
2020-07-05,3164,22
2020-07-06,3391,24
2020-07-07,3579,28
2020-07-08,3812,28
2020-07-09,4070,30
2020-07-10,4352,31
2020-07-11,4470,35
2020-07-12,4640,37
2020-07-13,4836,43
2020-07-14,5181,45
2020-07-15,5497,49
2020-07-16,5718,53
2020-07-17,5830,59
2020-07-19,6216,66
2020-07-20,6420,73
2020-07-21,7348,79
2020-07-22,7680,81
2020-07-23,7919,86
2020-07-24,8187,90
2020-07-25,8427,95
2020-07-26,8579,104
2020-07-27,8881,106
2020-07-29,9644,119
2020-07-31,10262,135
2020-08-01,10351,139
2020-08-03,11213,149
2020-08-05,11795,158
2020-08-06,12186,170
2020-08-08,12934,184
2020-08-09,13188,190
2020-08-10,13511,200
2020-08-11,13940,204
2020-08-14,15448,226
2020-08-17,16481,251
2020-08-18,16988,254
2020-08-19,17382,260
2020-08-20,17633,266
2020-08-22,18379,287
2020-08-24,19336,305
2020-08-27,20505,332
2020-08-28,20801,340
2020-08-30,21334,355
2020-08-31,21697,369
2020-09-01,22053,372
2020-09-03,22688,385
2020-09-04,23030,390
2020-09-05,22980,396
2020-09-07,23457,405
